CMDLINE C:\Users\Muping\anaconda3\python.exe main.py
MEM 1160.687500 1676390899.4283
MEM 1160.687500 1676390899.5369
MEM 1160.796875 1676390899.6476
MEM 1161.031250 1676390899.7562
MEM 1161.031250 1676390899.8678
MEM 1161.093750 1676390899.9765
MEM 1161.343750 1676390900.0861
MEM 1161.453125 1676390900.1957
MEM 1161.457031 1676390900.3054
MEM 1161.644531 1676390900.4140
MEM 1162.023438 1676390900.5246
MEM 1162.023438 1676390900.6333
MEM 1162.148438 1676390900.7419
MEM 1162.429688 1676390900.8526
MEM 1162.429688 1676390900.9622
MEM 1162.429688 1676390901.0728
MEM 1162.429688 1676390901.1815
MEM 1162.429688 1676390901.2921
MEM 1162.429688 1676390901.3997
MEM 1162.433594 1676390901.5113
MEM 1162.433594 1676390901.6200
MEM 1162.433594 1676390901.7306
MEM 1162.433594 1676390901.8383
MEM 1162.433594 1676390901.9489
MEM 1162.433594 1676390902.0595
MEM 1162.433594 1676390902.1692
MEM 1162.433594 1676390902.2788
MEM 1162.433594 1676390902.3884
MEM 1162.437500 1676390902.4971
MEM 1162.437500 1676390902.6077
MEM 1162.437500 1676390902.7183
MEM 1162.437500 1676390902.8299
MEM 1162.437500 1676390902.9406
MEM 1162.437500 1676390903.0512
MEM 1162.437500 1676390903.1608
MEM 1162.507812 1676390903.2725
MEM 1162.511719 1676390903.3841
MEM 1162.511719 1676390903.4947
MEM 1162.511719 1676390903.6054
MEM 1162.511719 1676390903.7140
MEM 1162.511719 1676390903.8256
MEM 1162.511719 1676390903.9362
MEM 1162.511719 1676390904.0459
MEM 1162.574219 1676390904.1555
MEM 1162.636719 1676390904.2671
MEM 1163.019531 1676390904.3758
MEM 1163.019531 1676390904.4854
MEM 1163.082031 1676390904.5970
MEM 1163.269531 1676390904.7077
MEM 1163.269531 1676390904.8193
MEM 1163.269531 1676390904.9289
MEM 1163.433594 1676390905.0376
MEM 1163.507812 1676390905.1482
MEM 1163.761719 1676390905.2578
MEM 1164.156250 1676390905.3675
MEM 1164.343750 1676390905.4781
MEM 1164.343750 1676390905.5867
MEM 1164.406250 1676390905.6964
MEM 1164.656250 1676390905.8080
MEM 1164.910156 1676390905.9166
MEM 1164.910156 1676390906.0255
MEM 1165.160156 1676390906.1361
MEM 1165.222656 1676390906.2458
MEM 1165.226562 1676390906.3564
MEM 1165.414062 1676390906.4680
MEM 1165.601562 1676390906.5786
MEM 1165.601562 1676390906.6883
MEM 1165.664062 1676390906.7989
MEM 1165.914062 1676390906.9085
MEM 1165.914062 1676390907.0192
MEM 1165.914062 1676390907.1293
MEM 1166.164062 1676390907.2389
MEM 1166.226562 1676390907.3495
MEM 1166.226562 1676390907.4602
MEM 1166.417969 1676390907.5698
MEM 1166.605469 1676390907.6794
MEM 1166.859375 1676390907.7901
MEM 1166.921875 1676390907.8997
MEM 1167.171875 1676390908.0093
MEM 1168.062500 1676390908.1200
MEM 1168.062500 1676390908.2289
MEM 1168.316406 1676390908.3385
MEM 1168.371094 1676390908.4492
MEM 1168.367188 1676390908.5598
MEM 1168.816406 1676390908.6684
MEM 1169.003906 1676390908.7800
MEM 1169.003906 1676390908.8907
MEM 1169.066406 1676390909.0003
MEM 1169.824219 1676390909.1119
MEM 1169.824219 1676390909.2216
MEM 1169.828125 1676390909.3312
MEM 1170.078125 1676390909.4418
MEM 1170.132812 1676390909.5525
MEM 1170.132812 1676390909.6621
MEM 1170.328125 1676390909.7727
MEM 1170.515625 1676390909.8824
MEM 1170.765625 1676390909.9940
MEM 1171.089844 1676390910.1036
MEM 1171.343750 1676390910.2123
MEM 1171.625000 1676390910.3209
MEM 1171.625000 1676390910.4295
MEM 1171.875000 1676390910.5392
MEM 1171.929688 1676390910.6498
MEM 1171.929688 1676390910.7604
MEM 1172.125000 1676390910.8701
MEM 1172.312500 1676390910.9797
MEM 1172.312500 1676390911.0893
MEM 1172.886719 1676390911.1970
MEM 1173.136719 1676390911.3076
MEM 1173.167969 1676390911.4172
MEM 1173.167969 1676390911.5259
MEM 1173.550781 1676390911.6355
MEM 1173.597656 1676390911.7441
MEM 1173.597656 1676390911.8538
MEM 1174.046875 1676390911.9654
MEM 1174.234375 1676390912.0730
MEM 1174.238281 1676390912.1827
MEM 1174.300781 1676390912.2923
MEM 1174.550781 1676390912.4019
MEM 1174.550781 1676390912.5136
MEM 1174.550781 1676390912.6252
MEM 1174.945312 1676390912.7348
MEM 1174.992188 1676390912.8454
MEM 1174.992188 1676390912.9571
MEM 1175.203125 1676390913.0667
MEM 1175.523438 1676390913.1753
MEM 1175.535156 1676390913.2860
MEM 1175.632812 1676390913.3966
MEM 1175.855469 1676390913.5062
MEM 1176.109375 1676390913.6149
MEM 1176.656250 1676390913.7255
MEM 1177.082031 1676390913.8361
MEM 1177.160156 1676390913.9458
MEM 1177.160156 1676390914.0554
MEM 1177.351562 1676390914.1660
MEM 1177.480469 1676390914.2757
MEM 1177.511719 1676390914.3853
MEM 1177.636719 1676390914.4952
MEM 1177.855469 1676390914.6038
MEM 1177.855469 1676390914.7124
MEM 1177.910156 1676390914.8241
MEM 1178.417969 1676390914.9307
MEM 1178.484375 1676390915.0423
MEM 1178.488281 1676390915.1520
